Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,Sim.Device,Sim.Pins
1,15,"C1, C4, C5, C6, C7, C8, C12, C14, C19, C20, C23, C25, C29, C34, C39",0.1uF 50V,Device:C,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,~,,,
2,3,"C2, C3, C35",10uF 35V,Device:C_Polarized_US,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~,,,
3,1,C9,0.39uF 50V,Device:C_Polarized_US,Capacitor_THT_Custom:CP_Radial_Tantal_D4.5mm_P2.50mm,~,,,
4,1,C10,0.068uF 63V,Device:C,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,PolyFilm,,,
5,8,"C11, C13, C15, C22, C28, C30, C42, C43",10uF 25V,Device:C_Polarized_US,Capacitor_THT_Custom:CP_Radial_Tantal_D4.5mm_P2.50mm,~,,,
6,2,"C16, C31",0.0015uF 100V,Device:C,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,PolyFilm,,,
7,9,"C17, C18, C26, C27, C32, C33, C37, C38, C41",0.01uF 100V,Device:C,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,PolyFilm,,,
8,2,"C21, C24",82pF 500V,Device:C,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,PolyFilm,,,
9,1,C36,100pF 500V,Device:C,Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm,PolyFilm,,,
10,1,C40,470uF 25V,Device:C_Polarized_US,Capacitor_THT:CP_Axial_L25.0mm_D10.0mm_P30.00mm_Horizontal,~,,,
11,2,"CR1, CR2",1N4148,Diode:1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,,D,1=K 2=A
12,1,J1,SPKR OUTPUT,Connector_Audio:AudioJack3,Connector_Audio:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,~,,,
13,1,J2,MIC INPUT,Connector_Audio:AudioJack3,Connector_Audio:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,~,,,
14,1,P1,Apple II Expansion Bus,Connector_Custom:Apple_II_Expansion_Bus,Connector_Custom:Apple_II_Expansion_Bus_Card_Edge,,,,
15,3,"Q3, Q4, Q5",PN2222A,Transistor_BJT:PN2222A,Package_TO_SOT_THT:TO-92_Inline,https://www.onsemi.com/pub/Collateral/PN2222-D.PDF,,,
16,1,R3,3.3K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
17,1,R4,18K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
18,1,R5,2.7M,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
19,1,R6,1.3K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
20,2,"R7, R9",620,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
21,5,"R8, R29, R37, R49, R51",1K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
22,2,"R10, R38",4.7K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
23,11,"R11, R14, R19, R21, R22, R25, R30, R33, R34, R36, R41",10K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
24,5,"R12, R18, R27, R31, R42",20K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
25,2,"R13, R32",33K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
26,4,"R15, R16, R23, R28",51K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
27,3,"R17, R24, R43",62K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
28,1,R20,22K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
29,1,R26,15K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
30,1,R35,150K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
31,1,R39,9.1K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
32,2,"R40, R44",6.2K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
33,1,R45,2.2K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
34,1,R46,6.8K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
35,1,R47,470K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
36,1,R48,2.7K,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
37,1,R50,68,Device:R_US,Resistor_THT_Custom:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,,
38,2,"U1, U2",LM324,Amplifier_Operational:LM324,Package_DIP:DIP-14_W7.62mm,http://www.ti.com/lit/ds/symlink/lm2902-n.pdf,,,
39,1,U3,LM380N,Amplifier_Audio:LM380N,Package_DIP:DIP-14_W7.62mm,http://www.ti.com/lit/ds/symlink/lm380.pdf,,,
40,1,U4,MC3418,Interface_Custom:MC3418,Package_DIP:DIP-16_W7.62mm,,,,
41,1,U5,4013,4xxx:4013,Package_DIP:DIP-14_W7.62mm,http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF,,,
42,1,U6,4001,4xxx:4001,Package_DIP:DIP-14_W7.62mm,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf,,,
43,1,U7,74LS138,74xx:74LS138,Package_DIP:DIP-16_W7.62mm,http://www.ti.com/lit/gpn/sn74LS138,,,
44,1,U8,4035,4xxx_Custom:4035,Package_DIP:DIP-16_W7.62mm,,,,
45,1,U9,74LS04,74xx:74LS04,Package_DIP:DIP-14_W7.62mm,http://www.ti.com/lit/gpn/sn74LS04,,,
46,1,U10,74LS174,:74LS174_1,Package_DIP:DIP-16_W7.62mm,http://www.ti.com/lit/gpn/sn74LS174,,,
47,1,U11,74LS174,74xx:74LS174,Package_DIP:DIP-16_W7.62mm,http://www.ti.com/lit/gpn/sn74LS174,,,
48,1,U12,74LS367,:74LS367_4,Package_DIP:DIP-16_W7.62mm,,,,
49,1,U14,4529,4xxx_IEEE:4529,Package_DIP:DIP-16_W7.62mm,,,,
50,1,U15,4040,4xxx:4040,Package_DIP:DIP-16_W7.62mm,http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4020bms-24bms-40bms.pdf,,,
